,Description,NaceCode,Age,Number_of_Activities
279,"Fabrication d'autres articles métalliques, n.d.a.",28755,32.29602888086642,1598
280,Première transformation d'aluminium,27422,32.27272727272727,60
281,Gestion et exploitation de centres culturels,92322,32.26842105263158,1009
282,Commerce de gros de tabac non manufacturé,51250,32.26315789473684,64
283,Intercommunales à vocation générale,75116,32.25,91
284,Transports par conduites,60300,32.166666666666664,59
285,Préparation de produits frais à base de viande et de conserves de viande,15131,32.161764705882355,596
286,Autre administration publique générale,84119,32.1578947368421,318
287,Enseignement secondaire professionnel ou technique communautaire,80221,32.12903225806452,121
288,Commerce de gros d'animaux vivants,51230,32.120315581854044,2297
289,Fabrication d'emballages en bois,20400,32.07185628742515,344
290,la caution et la garantie,6713003,32.0,1166
291,le commerce de détail d'articles n.d.a. autres que produits alimentaires,5249803,32.0,2296
292,le commerce de détail de fleurs artificielles et d'articles d'ornementation en fleurs artificielles,5248303,32.0,983
293,le commerce de détail d'appareils et articles de ménage ou d'économie domestique n.d.a.,5244206,32.0,1447
294,le commerce de détail spécialisé en cadeaux portant sur l'équipement du foyer,5244205,32.0,9385
295,"le commerce de détail d'ouvrages en bois, en liège et en vannerie",5244204,32.0,2718
296,"le commerce de détail d'appareils ménagers non électriques, de coutellerie, de vaisselle, de verrerie, de porcelaine et de poteries",5244202,32.0,5075
297,le commerce de gros de farines et produits pour la boulangerie,5138401,32.0,258
298,"la fabrication d'articles-surprises, d'articles pour fêtes et d'articles de prestidigitation",3663013,32.0,224
299,"la fabrication de fleurs, fruits et feuillages artificiels et d'articles d'ornementation en fleurs séchées",3663012,32.0,230
300,Fabrication d'autres articles en papier ou en carton,21250,32.0,173
301,Extraction de pierres à ciment,14121,32.0,34
302,Transformation et conservation de fruits,15333,31.984375,148
303,Réparation de chaussures et d'articles en cuir,52710,31.96900826446281,1610
304,Étirage à froid de barres,24310,31.954545454545453,135
305,Entreposage frigorifique,63121,31.94736842105263,528
306,Fabrication de machines pour les industries textiles,28940,31.945652173913043,421
307,Extraction de sable,08122,31.94,283
308,Autres transports terrestres de voyageurs,60230,31.93359375,1078
309,Activités de clubs de sport et d'associations sportives,92621,31.933529411764706,2360
310,Enseignement secondaire général communautaire,80211,31.829896907216494,736
311,Production de viande fraîche de volailles,15121,31.816,211
312,Agences maritimes,63403,31.79640718562874,283
313,Commerce de gros de papiers peints et de produits d'entretien,51442,31.781501340482574,1853
314,"Activités des hôpitaux généraux, sauf hôpitaux gériatriques et spécialisés",86101,31.77238805970149,737
315,Sociétés de bourse,65233,31.75862068965517,127
316,Travail du diamant,36221,31.75800711743772,884
317,"Commerce de gros de sucre, chocolat, confiserie",51360,31.6828125,1926
318,Fabrication de chaux et de plâtre,23520,31.56,153
319,"Commerce de gros d'articles de papeterie, de fournitures de bureau et de fournitures scolaires",51475,31.555895865237368,3707
320,Affaires étrangères,75210,31.555555555555557,51
321,Distribution et commerce de combustibles gazeux,40220,31.52542372881356,197
322,Première transformation d'autres métaux non ferreux,27452,31.46153846153846,37
323,Enseignement fondamental communautaire,80101,31.454545454545453,745
324,"Discothèques, dancings et similaires",55402,31.453846153846154,1013
325,Transformation et conservation de légumes,15331,31.403225806451612,128
326,Enseignement supérieur libre subventionné,85422,31.38053097345133,682
327,Fabrication d'autres matériels électriques n.d.a.,31623,31.35114503816794,258
328,"Emboutissage, estampage et profilage des métaux",28402,31.28148148148148,450
329,Autres activités relatives à la justice,75233,31.27777777777778,72
330,Fabrication de bicyclettes,35420,31.20967741935484,131
331,Fabrication de matériel de levage et de manutention,29220,31.204819277108435,467
332,Élaboration et transformation de matières nucléaires,24460,31.2,45
333,Commerce de gros de tabac,51350,31.19178082191781,326
334,Enseignement secondaire spécialisé organisé par les pouvoirs publics,85325,31.157894736842106,302
335,Commerce de détail de carburants,50500,31.101951219512195,3499
336,"Fabrication d'autres ouvrages en béton, en plâtre ou en ciment",26660,31.083333333333332,272
337,Culture de légumes,01121,31.07998392282958,5625
338,Production de viande fraîche,15111,31.07894736842105,635
339,Fabrication de vis et de boulons,25940,31.048780487804876,453
340,Commerce de détail spécialisé de timbres-postes et de pièces de monnaies,52495,31.043478260869566,316
341,Services annexes des transports par eau,63220,30.976470588235294,457
342,Fabrication d'équipements d'emballage,29241,30.95,117
343,Activités de soins résidentiels pour personnes avec un problème psychiatrique,87203,30.89830508474576,221
344,Ennoblissement textile,17300,30.884615384615383,493
345,Fabrication d'équipements aérauliques et frigorifiques industriels,29230,30.82294264339152,730
346,Commerce de gros de matériel électrique y compris le matériel d'installation,51871,30.811262376237625,3036
347,"Confection de vêtements de dessus pour hommes, femmes et enfants",18221,30.80439121756487,1801
348,Fabrication de motocycles,35410,30.8,40
349,"Exploitation de parcs de récréation, lunaparcs et similaires",92722,30.782608695652176,625
350,"Hôtels et motels, avec restaurant",55101,30.77927927927928,1894
351,Activités des hôpitaux spécialisés,86103,30.767857142857142,149
352,Agents et courtiers d'assurances,67201,30.751160092807424,7223
353,Transports routiers de marchandises,60242,30.716870540265035,10581
354,Élevage de porcs reproducteurs,01231,30.71514114627887,2829
355,Kinésithérapeutes,85144,30.667675239536056,8583
356,Fabrication de machines pour le travail du caoutchouc et des matières plastiques,29562,30.666666666666668,56
357,"Commerce de détail de quincaillerie, peintures, matériaux de construction et verre (y compris les bricocenters) avec une surface de vente jusqu'à 400 m2.",52461,30.64413965087282,18319
358,Fabrication de machines pour les industries du papier et du carton,29550,30.636363636363637,22
359,Entreprises de pompes funèbres,93031,30.601176470588236,1332
360,Fabrication de vêtements de sport,18242,30.583333333333332,165
361,Fabrication d'autres produits pharmaceutiques,24422,30.535211267605632,145
362,Commerce de gros de produits laitiers et oeufs,51331,30.527054108216433,756
363,"Extraction de pierres calcaires, de gypse, de craie et d'ardoise",08112,30.526881720430108,264
364,"Guides, services d'information touristique et similaires",63303,30.518260869565218,1840
365,Organismes extra-territoriaux,99000,30.489830508474576,2544
366,"Crèches et garderies d'enfants, y compris les centres de jour pour enfants handicapés",85321,30.46846846846847,6144
367,Commerce de gros de produits pharmaceutiques,51460,30.43350864012021,2034
368,Fabrication d'appareils électroménagers,29710,30.42105263157895,181
369,Fabrication de pâtes alimentaires,15850,30.41509433962264,95
370,Fabrication d'autres machines à usage général n.d.a.,29247,30.407185628742514,321
371,Extraction de minerais d'uranium et de thorium,12000,30.37735849056604,250
372,Commerce de gros de fruits et légumes,51310,30.359670781893005,3941
373,"Commerce de gros de machines, matériels et tracteurs agricoles",51880,30.353346456692915,1732
374,Fabrication de fibres de verre,26140,30.352941176470587,40
375,Administration publique (tutelle) des activités économiques,84130,30.329842931937172,752
376,Services annexes des transports terrestres,63210,30.31304347826087,1351
377,Fabrication de machines pour la métallurgie,29510,30.263157894736842,58
378,Fabrication d'articles orthopédiques et de prothèses,33103,30.21840490797546,1326
379,Fabrication de machines pour l'extraction ou la construction,29520,30.216666666666665,104
380,Autres industries textiles n.d.a.,17540,30.17365269461078,278
381,"Fabrication de plaques, feuilles, tubes et profilés en matières plastiques",25210,30.145205479452056,3158
382,"Fabrication de meubles de bureaux, de magasins et d'ateliers, en métal",36121,30.123287671232877,601
383,Organisations politiques,91320,30.103448275862068,165
384,Fabrication de tubes en acier,27220,30.102040816326532,89
385,Fabrication d'appareils électriques de signalisation et d'alarme,31621,30.075949367088608,312
386,Commerce de gros de textiles,51410,30.04090419806243,3133
387,Commerce de gros de diamants,51561,30.018,2146
388,"Jardins botaniques, zoologiques et réserves naturelles",92530,30.015748031496063,229
389,Autres commerces de gros non spécialisés de produits alimentaires,51392,30.002132196162048,1641
390,Commerce de gros de fournitures et d'équipements divers pour le commerce et les services n.d.a.,51653,30.0,42
391,Autres activités de première transformation; fabrication de ferro-alliages non CECA,27350,30.0,1
392,Fabrication d'aliments pour animaux de compagnie,15720,29.944444444444443,87
393,Fabrication d'autres matériels de transport n.d.a.,35500,29.88888888888889,77
394,Fabrication de matériel électromagnétique industriel,31622,29.88235294117647,95
395,Commerce de détail de véhicules automobiles,50103,29.87375769048746,11712
396,Agences de voyage,63301,29.840425531914892,1617
397,Commerce de détail de meubles,52441,29.836499532855807,11032
398,Décorateurs d'intérieurs,74844,29.833333333333332,302
399,Gestion des bibliothèques et archives publiques,92510,29.81159420289855,1004
400,Fabrication de non-tissés,17530,29.8,20
401,Autres travaux maritimes et fluviaux,45242,29.794642857142858,1562
402,Affrètement,63402,29.789473684210527,266
403,"Commerce de gros de machines pour l'extraction, la construction et le génie civil",51820,29.76178660049628,927
404,Fabrication d'autres machines pour industries spécifiques,29564,29.758793969849247,333
405,Autres activités manufacturières n.d.a.,36630,29.758130081300813,1453
406,"Réparation de montres, horloges et bijoux",52730,29.756172839506174,919
407,Police fédérale,84241,29.75,156
408,"Commerce de gros de meubles, d'appareils ménagers non électriques et de revêtements de sol, y compris les tapis",51471,29.741219963031423,3333
409,Fabrication de matériel de distribution et de commande électrique,31200,29.723577235772357,365
410,"Construction de tunnels, ponts, viaducs et similaires",45214,29.688622754491018,1460
411,Commerce de gros de boissons,51340,29.680897646414888,4188
412,"Fabrication de moteurs et turbines, à l'exclusion des moteurs pour avions et véhicules à moteur",29110,29.680851063829788,104
413,Fabrication d'huiles essentielles,24630,29.68,55
414,"Commerce de gros d'horlogerie, d'articles en métaux précieux et de bijoux",51474,29.667979002624673,4541
415,Commerce de détail de textiles,52410,29.665799363978028,12184
416,Horlogerie,33500,29.636363636363637,104
417,"Fabrication de meubles pour salles à manger, salons et chambres à coucher",36141,29.636197440585008,2590
418,Fabrication de matières plastiques de base,24160,29.617977528089888,158
419,Boulangeries industrielles,15811,29.615686274509805,1078
